cycle,profile,routing_contract,block_steps,bootstrap_seed,test_step_min,test_step_max,incumbent_alpha,candidate_alpha,decision,primary_metric,primary_point_delta,primary_lower_bound,incumbent_precision,candidate_precision,delta_precision,lcb_precision,ucb_precision,incumbent_fraud_recall,candidate_fraud_recall,delta_fraud_recall,lcb_fraud_recall,ucb_fraud_recall,incumbent_fraud_value_recall,candidate_fraud_value_recall,delta_fraud_value_recall,lcb_fraud_value_recall,ucb_fraud_value_recall,delta_balanced_hmean,lcb_balanced_hmean,ucb_balanced_hmean,precision_guardrail_pass,fraud_recall_guardrail_pass,fraud_value_recall_guardrail_pass,queue_overlap_rate,replacement_count,incumbent_review_delay_mean_steps,candidate_review_delay_mean_steps,incumbent_review_delay_p90_steps,candidate_review_delay_p90_steps,bootstrap_valid,reason
2,balanced,seen_so_far_backlog,1,20262026,645,694,0.25,0.25,KEEP_INCUMBENT,balanced_hmean,-0.00022239437524973482,-0.009330693015528226,0.42042042042042044,0.42042042042042044,0.0,-0.006314102888694387,0.00605948376285381,0.2564102564102564,0.2564102564102564,0.0,-0.006968641114982586,0.00663816669288861,0.8173679023122683,0.8154213586653648,-0.001946543646903498,-0.012815417908183703,0.003497132918667426,-0.00022239437524973482,-0.009330693015528226,0.007801731526691695,True,True,True,0.996996996996997,1,8.585585585585585,8.567567567567568,28.80000000000001,28.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
2,balanced,seen_so_far_backlog,3,20264026,645,694,0.25,0.25,KEEP_INCUMBENT,balanced_hmean,-0.00022239437524973482,-0.008326540000564356,0.42042042042042044,0.42042042042042044,0.0,-0.005581384925723091,0.005838817134020384,0.2564102564102564,0.2564102564102564,0.0,-0.006147540983606546,0.005711684149184151,0.8173679023122683,0.8154213586653648,-0.001946543646903498,-0.012141121545078425,0.0036203995637762876,-0.00022239437524973482,-0.008326540000564356,0.007416194045843775,True,True,True,0.996996996996997,1,8.585585585585585,8.567567567567568,28.80000000000001,28.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
2,balanced,seen_so_far_backlog,5,20261026,645,694,0.25,0.25,KEEP_INCUMBENT,balanced_hmean,-0.00022239437524973482,-0.008122233881917879,0.42042042042042044,0.42042042042042044,0.0,-0.005862144160273972,0.005483826011754702,0.2564102564102564,0.2564102564102564,0.0,-0.005960483462973487,0.0065007332515475864,0.8173679023122683,0.8154213586653648,-0.001946543646903498,-0.01175046664525058,0.003246103076015906,-0.00022239437524973482,-0.008122233881917879,0.007812031118226361,True,True,True,0.996996996996997,1,8.585585585585585,8.567567567567568,28.80000000000001,28.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
2,balanced,seen_so_far_backlog,10,20271026,645,694,0.25,0.25,KEEP_INCUMBENT,balanced_hmean,-0.00022239437524973482,-0.00776113782980005,0.42042042042042044,0.42042042042042044,0.0,-0.00407047369380334,0.0034833597165687003,0.2564102564102564,0.2564102564102564,0.0,-0.005576208178438652,0.004587155963302734,0.8173679023122683,0.8154213586653648,-0.001946543646903498,-0.010241337472218752,0.002084624041160327,-0.00022239437524973482,-0.00776113782980005,0.005369700568369895,True,True,True,0.996996996996997,1,8.585585585585585,8.567567567567568,28.80000000000001,28.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
2,case_first,seen_so_far_backlog,1,20262025,645,694,0.25,0.25,KEEP_INCUMBENT,fraud_recall,0.0,-0.006072874493927127,0.42042042042042044,0.42042042042042044,0.0,-0.005990285833643446,0.00638902525954573,0.2564102564102564,0.2564102564102564,0.0,-0.006072874493927127,0.007362211489761943,0.8173679023122683,0.8154213586653648,-0.001946543646903498,-0.012479319930987633,0.0037688654200826077,-0.00022239437524973482,-0.008495054114221138,0.008805887993838779,True,True,True,0.996996996996997,1,8.585585585585585,8.567567567567568,28.80000000000001,28.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
2,case_first,seen_so_far_backlog,3,20264025,645,694,0.25,0.25,KEEP_INCUMBENT,fraud_recall,0.0,-0.006072874493927127,0.42042042042042044,0.42042042042042044,0.0,-0.005975484145153868,0.006140189852788583,0.2564102564102564,0.2564102564102564,0.0,-0.006072874493927127,0.006072012138188644,0.8173679023122683,0.8154213586653648,-0.001946543646903498,-0.012190492394475463,0.00340418559227713,-0.00022239437524973482,-0.008406863611856432,0.007499674753652323,True,True,True,0.996996996996997,1,8.585585585585585,8.567567567567568,28.80000000000001,28.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
2,case_first,seen_so_far_backlog,5,20261025,645,694,0.25,0.25,KEEP_INCUMBENT,fraud_recall,0.0,-0.00579150579150578,0.42042042042042044,0.42042042042042044,0.0,-0.005506537142967487,0.005207963679405678,0.2564102564102564,0.2564102564102564,0.0,-0.00579150579150578,0.005625193601982489,0.8173679023122683,0.8154213586653648,-0.001946543646903498,-0.010949002607832634,0.0030680967641984564,-0.00022239437524973482,-0.007981372439522594,0.006740537041109852,True,True,True,0.996996996996997,1,8.585585585585585,8.567567567567568,28.80000000000001,28.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
2,case_first,seen_so_far_backlog,10,20271025,645,694,0.25,0.25,KEEP_INCUMBENT,fraud_recall,0.0,-0.005604965981623037,0.42042042042042044,0.42042042042042044,0.0,-0.0036805183201314502,0.0036041658655562607,0.2564102564102564,0.2564102564102564,0.0,-0.005604965981623037,0.004746835443038,0.8173679023122683,0.8154213586653648,-0.001946543646903498,-0.010049787562183003,0.002226071933631939,-0.00022239437524973482,-0.007524190045492175,0.005764445854285925,True,True,True,0.996996996996997,1,8.585585585585585,8.567567567567568,28.80000000000001,28.0,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
2,value_first,seen_so_far_backlog,1,20262027,645,694,0.25,0.5,KEEP_INCUMBENT,fraud_value_recall,-0.0021297454070181576,-0.0068709209362734155,0.42042042042042044,0.4144144144144144,-0.006006006006006037,-0.013342084534596297,0.0,0.2564102564102564,0.25274725274725274,-0.00366300366300365,-0.011098231800161873,0.0,0.8173679023122683,0.8152381569052501,-0.0021297454070181576,-0.0068709209362734155,0.0,-0.0044975747507458586,-0.01379545251518417,0.0,True,True,True,0.993993993993994,2,8.585585585585585,8.525525525525525,28.80000000000001,28.80000000000001,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
2,value_first,seen_so_far_backlog,3,20264027,645,694,0.25,0.5,KEEP_INCUMBENT,fraud_value_recall,-0.0021297454070181576,-0.006161492345934312,0.42042042042042044,0.4144144144144144,-0.006006006006006037,-0.012299968795196806,0.0,0.2564102564102564,0.25274725274725274,-0.00366300366300365,-0.010452961672473893,0.0,0.8173679023122683,0.8152381569052501,-0.0021297454070181576,-0.006161492345934312,0.0,-0.0044975747507458586,-0.012701535489561563,0.0,True,True,True,0.993993993993994,2,8.585585585585585,8.525525525525525,28.80000000000001,28.80000000000001,2000,promotion evidence is insufficient under the pre-declared gain and guardrail rules
