profile,alpha,target_alerts_per_10k,capacity_n,alerts,actual_alerts_per_10k,precision,recall,legit_flag_rate,legit_alerts_per_10k,fraud_value_recall,fraud_alerts,legit_alerts,boundary_score,boundary_tie_n,boundary_tie_selected_n,tie_breaker,period,step_min,step_max,n,fraud_n
case_first,0.25,50.0,212,212,49.98113919275745,0.6132075471698113,0.23550724637681159,0.0019587234855723296,19.587234855723295,0.7545365406918171,130,82,0.8898596927322813,1,1,stable_non_label_event_key,future_window_1,595,644,42416,552
case_first,0.25,50.0,333,333,49.87120349847242,0.42042042042042044,0.2564102564102564,0.0029142632802826684,29.142632802826686,0.8173679023122683,140,193,1.3171204116401178,1,1,stable_non_label_event_key,future_window_2,645,694,66772,546
case_first,0.25,50.0,71,71,49.332962757087266,1.0,0.12769784172661872,0.0,0.0,0.40757533170724475,71,0,1.8166333622548205,1,1,stable_non_label_event_key,future_window_3,695,743,14392,556
balanced,0.25,50.0,212,212,49.98113919275745,0.6132075471698113,0.23550724637681159,0.0019587234855723296,19.587234855723295,0.7545365406918171,130,82,0.8898596927322813,1,1,stable_non_label_event_key,future_window_1,595,644,42416,552
balanced,0.25,50.0,333,333,49.87120349847242,0.42042042042042044,0.2564102564102564,0.0029142632802826684,29.142632802826686,0.8173679023122683,140,193,1.3171204116401178,1,1,stable_non_label_event_key,future_window_2,645,694,66772,546
balanced,0.25,50.0,71,71,49.332962757087266,1.0,0.12769784172661872,0.0,0.0,0.40757533170724475,71,0,1.8166333622548205,1,1,stable_non_label_event_key,future_window_3,695,743,14392,556
value_first,0.25,50.0,212,212,49.98113919275745,0.6132075471698113,0.23550724637681159,0.0019587234855723296,19.587234855723295,0.7545365406918171,130,82,0.8898596927322813,1,1,stable_non_label_event_key,future_window_1,595,644,42416,552
value_first,0.25,50.0,333,333,49.87120349847242,0.42042042042042044,0.2564102564102564,0.0029142632802826684,29.142632802826686,0.8173679023122683,140,193,1.3171204116401178,1,1,stable_non_label_event_key,future_window_2,645,694,66772,546
value_first,0.25,50.0,71,71,49.332962757087266,1.0,0.12769784172661872,0.0,0.0,0.40757533170724475,71,0,1.8166333622548205,1,1,stable_non_label_event_key,future_window_3,695,743,14392,556
