cycle,profile,sensitivity_class,block_steps,decisions,min_primary_lower_bound,max_primary_lower_bound,min_fraud_recall_lcb,max_fraud_recall_lcb
2,balanced,ROBUST_KEEP_INCUMBENT,"1,3,5,10","KEEP_INCUMBENT,KEEP_INCUMBENT,KEEP_INCUMBENT,KEEP_INCUMBENT",-0.008958862207185518,-0.007471273343512317,-0.0067724612367469255,-0.005535055350553542
2,case_first,ROBUST_KEEP_INCUMBENT,"1,3,5,10","KEEP_INCUMBENT,KEEP_INCUMBENT,KEEP_INCUMBENT,KEEP_INCUMBENT",-0.006896551724137945,-0.005409042331352332,-0.006896551724137945,-0.005409042331352332
2,value_first,ROBUST_KEEP_INCUMBENT,"1,3,5,10","KEEP_INCUMBENT,KEEP_INCUMBENT,KEEP_INCUMBENT,KEEP_INCUMBENT",-0.0069571696268439336,-0.004509245874479576,-0.011166634300615869,-0.008174696107951362
3,balanced,ROBUST_KEEP_INCUMBENT,"1,3,5,10","KEEP_INCUMBENT,KEEP_INCUMBENT,KEEP_INCUMBENT,KEEP_INCUMBENT",0.0,0.0,0.0,0.0
3,case_first,ROBUST_KEEP_INCUMBENT,"1,3,5,10","KEEP_INCUMBENT,KEEP_INCUMBENT,KEEP_INCUMBENT,KEEP_INCUMBENT",0.0,0.0,0.0,0.0
3,value_first,DEPENDENCE_SENSITIVE,"1,3,5,10","KEEP_INCUMBENT,KEEP_INCUMBENT,KEEP_INCUMBENT,PROMOTE",0.05927253887356382,0.12389169089341322,-0.03741922555185596,-0.01835183397683397
