cycle,strategy,test_step_min,test_step_max,target_alerts_per_10k,capacity_n,alerts,actual_alerts_per_10k,precision,recall,legit_flag_rate,legit_alerts_per_10k,fraud_value_recall,fraud_alerts,legit_alerts,boundary_score,boundary_tie_n,boundary_tie_selected_n,tie_breaker,profile,alpha,amount_scale
1,frozen_v1_7,595,644,50.0,212,212,49.98113919275745,0.6132075471698113,0.23550724637681159,0.0019587234855723296,19.587234855723295,0.7545365406918171,130,82,0.8898596927322813,1,1,stable_non_label_event_key,value_first,0.25,70669.965
1,frozen_v1_7,595,644,100.0,424,424,99.9622783855149,0.39858490566037735,0.3061594202898551,0.006091152302694439,60.91152302694439,0.8506427401153344,169,255,0.4292688803109687,1,1,stable_non_label_event_key,value_first,0.25,70669.965
1,rolling_refresh,595,644,10.0,42,42,9.901923802338741,1.0,0.07608695652173914,0.0,0.0,0.33180817533453266,42,0,2.129825747826925,1,1,stable_non_label_event_key,case_first,0.25,70669.965
1,rolling_refresh,595,644,25.0,106,106,24.990569596378727,0.7547169811320755,0.14492753623188406,0.0006210586661570801,6.210586661570801,0.5875922360463809,80,26,1.6190506197986778,1,1,stable_non_label_event_key,case_first,0.25,70669.965
1,rolling_refresh,595,644,50.0,212,212,49.98113919275745,0.6132075471698113,0.23550724637681159,0.0019587234855723296,19.587234855723295,0.7545365406918171,130,82,0.8898596927322813,1,1,stable_non_label_event_key,case_first,0.25,70669.965
1,rolling_refresh,595,644,100.0,424,424,99.9622783855149,0.39858490566037735,0.3061594202898551,0.006091152302694439,60.91152302694439,0.8506427401153344,169,255,0.4292688803109687,1,1,stable_non_label_event_key,case_first,0.25,70669.965
1,rolling_refresh,595,644,10.0,42,42,9.901923802338741,1.0,0.07608695652173914,0.0,0.0,0.33180817533453266,42,0,2.129825747826925,1,1,stable_non_label_event_key,balanced,0.25,70669.965
1,rolling_refresh,595,644,25.0,106,106,24.990569596378727,0.7547169811320755,0.14492753623188406,0.0006210586661570801,6.210586661570801,0.5875922360463809,80,26,1.6190506197986778,1,1,stable_non_label_event_key,balanced,0.25,70669.965
1,rolling_refresh,595,644,50.0,212,212,49.98113919275745,0.6132075471698113,0.23550724637681159,0.0019587234855723296,19.587234855723295,0.7545365406918171,130,82,0.8898596927322813,1,1,stable_non_label_event_key,balanced,0.25,70669.965
1,rolling_refresh,595,644,100.0,424,424,99.9622783855149,0.39858490566037735,0.3061594202898551,0.006091152302694439,60.91152302694439,0.8506427401153344,169,255,0.4292688803109687,1,1,stable_non_label_event_key,balanced,0.25,70669.965
1,rolling_refresh,595,644,10.0,42,42,9.901923802338741,1.0,0.07608695652173914,0.0,0.0,0.33180817533453266,42,0,2.129825747826925,1,1,stable_non_label_event_key,value_first,0.25,70669.965
1,rolling_refresh,595,644,25.0,106,106,24.990569596378727,0.7547169811320755,0.14492753623188406,0.0006210586661570801,6.210586661570801,0.5875922360463809,80,26,1.6190506197986778,1,1,stable_non_label_event_key,value_first,0.25,70669.965
1,rolling_refresh,595,644,50.0,212,212,49.98113919275745,0.6132075471698113,0.23550724637681159,0.0019587234855723296,19.587234855723295,0.7545365406918171,130,82,0.8898596927322813,1,1,stable_non_label_event_key,value_first,0.25,70669.965
1,rolling_refresh,595,644,100.0,424,424,99.9622783855149,0.39858490566037735,0.3061594202898551,0.006091152302694439,60.91152302694439,0.8506427401153344,169,255,0.4292688803109687,1,1,stable_non_label_event_key,value_first,0.25,70669.965
2,frozen_v1_7,645,694,10.0,66,66,9.88438267537291,0.9848484848484849,0.11904761904761904,1.5099809742397246e-05,0.15099809742397247,0.4036312808487914,65,1,1.9718605190905247,1,1,stable_non_label_event_key,case_first,0.25,70669.965
2,frozen_v1_7,645,694,25.0,166,166,24.860720062301564,0.6566265060240963,0.19963369963369965,0.000860689155316643,8.60689155316643,0.7035804737420962,109,57,1.6391891934667797,1,1,stable_non_label_event_key,case_first,0.25,70669.965
2,frozen_v1_7,645,694,50.0,333,333,49.87120349847242,0.42042042042042044,0.2564102564102564,0.0029142632802826684,29.142632802826686,0.8173679023122683,140,193,1.3171204116401178,1,1,stable_non_label_event_key,case_first,0.25,70669.965
2,frozen_v1_7,645,694,100.0,667,667,99.89217037081411,0.2863568215892054,0.3498168498168498,0.007187509437381089,71.87509437381088,0.8955476386620065,191,476,0.45390759293887833,1,1,stable_non_label_event_key,case_first,0.25,70669.965
2,frozen_v1_7,645,694,10.0,66,66,9.88438267537291,0.9848484848484849,0.11904761904761904,1.5099809742397246e-05,0.15099809742397247,0.4036312808487914,65,1,1.9718605190905247,1,1,stable_non_label_event_key,balanced,0.25,70669.965
2,frozen_v1_7,645,694,25.0,166,166,24.860720062301564,0.6566265060240963,0.19963369963369965,0.000860689155316643,8.60689155316643,0.7035804737420962,109,57,1.6391891934667797,1,1,stable_non_label_event_key,balanced,0.25,70669.965
2,frozen_v1_7,645,694,50.0,333,333,49.87120349847242,0.42042042042042044,0.2564102564102564,0.0029142632802826684,29.142632802826686,0.8173679023122683,140,193,1.3171204116401178,1,1,stable_non_label_event_key,balanced,0.25,70669.965
2,frozen_v1_7,645,694,100.0,667,667,99.89217037081411,0.2863568215892054,0.3498168498168498,0.007187509437381089,71.87509437381088,0.8955476386620065,191,476,0.45390759293887833,1,1,stable_non_label_event_key,balanced,0.25,70669.965
2,frozen_v1_7,645,694,10.0,66,66,9.88438267537291,0.9848484848484849,0.11904761904761904,1.5099809742397246e-05,0.15099809742397247,0.4036312808487914,65,1,1.9718605190905247,1,1,stable_non_label_event_key,value_first,0.25,70669.965
2,frozen_v1_7,645,694,25.0,166,166,24.860720062301564,0.6566265060240963,0.19963369963369965,0.000860689155316643,8.60689155316643,0.7035804737420962,109,57,1.6391891934667797,1,1,stable_non_label_event_key,value_first,0.25,70669.965
2,frozen_v1_7,645,694,50.0,333,333,49.87120349847242,0.42042042042042044,0.2564102564102564,0.0029142632802826684,29.142632802826686,0.8173679023122683,140,193,1.3171204116401178,1,1,stable_non_label_event_key,value_first,0.25,70669.965
2,frozen_v1_7,645,694,100.0,667,667,99.89217037081411,0.2863568215892054,0.3498168498168498,0.007187509437381089,71.87509437381088,0.8955476386620065,191,476,0.45390759293887833,1,1,stable_non_label_event_key,value_first,0.25,70669.965
2,rolling_refresh,645,694,10.0,66,66,9.88438267537291,1.0,0.12087912087912088,0.0,0.0,0.405410526002274,66,0,1.1841700830515893,1,1,stable_non_label_event_key,case_first,0.25,66303.38
2,rolling_refresh,645,694,25.0,166,166,24.860720062301564,0.6987951807228916,0.21245421245421245,0.0007549904871198623,7.549904871198623,0.6941468188873153,116,50,0.7837932330848434,1,1,stable_non_label_event_key,case_first,0.25,66303.38
2,rolling_refresh,645,694,50.0,333,333,49.87120349847242,0.42042042042042044,0.2564102564102564,0.0029142632802826684,29.142632802826686,0.8154213586653648,140,193,0.6218970245802138,1,1,stable_non_label_event_key,case_first,0.25,66303.38
2,rolling_refresh,645,694,100.0,667,667,99.89217037081411,0.2863568215892054,0.3498168498168498,0.007187509437381089,71.87509437381088,0.8955476386620065,191,476,0.19248781437361714,1,1,stable_non_label_event_key,case_first,0.25,66303.38
2,rolling_refresh,645,694,10.0,66,66,9.88438267537291,1.0,0.12087912087912088,0.0,0.0,0.405410526002274,66,0,1.1841700830515893,1,1,stable_non_label_event_key,balanced,0.25,66303.38
2,rolling_refresh,645,694,25.0,166,166,24.860720062301564,0.6987951807228916,0.21245421245421245,0.0007549904871198623,7.549904871198623,0.6941468188873153,116,50,0.7837932330848434,1,1,stable_non_label_event_key,balanced,0.25,66303.38
2,rolling_refresh,645,694,50.0,333,333,49.87120349847242,0.42042042042042044,0.2564102564102564,0.0029142632802826684,29.142632802826686,0.8154213586653648,140,193,0.6218970245802138,1,1,stable_non_label_event_key,balanced,0.25,66303.38
2,rolling_refresh,645,694,100.0,667,667,99.89217037081411,0.2863568215892054,0.3498168498168498,0.007187509437381089,71.87509437381088,0.8955476386620065,191,476,0.19248781437361714,1,1,stable_non_label_event_key,balanced,0.25,66303.38
2,rolling_refresh,645,694,10.0,66,66,9.88438267537291,0.9848484848484849,0.11904761904761904,1.5099809742397246e-05,0.15099809742397247,0.4036312808487914,65,1,3.4006192587453903,1,1,stable_non_label_event_key,value_first,0.5,66303.38
2,rolling_refresh,645,694,25.0,166,166,24.860720062301564,0.6325301204819277,0.19230769230769232,0.000921088394286232,9.210883942862319,0.6977882355576754,105,61,2.476210400289729,1,1,stable_non_label_event_key,value_first,0.5,66303.38
2,rolling_refresh,645,694,50.0,333,333,49.87120349847242,0.4144144144144144,0.25274725274725274,0.002944462899767463,29.44462899767463,0.8152381569052501,138,195,1.6023152865460502,1,1,stable_non_label_event_key,value_first,0.5,66303.38
2,rolling_refresh,645,694,100.0,667,667,99.89217037081411,0.2863568215892054,0.3498168498168498,0.007187509437381089,71.87509437381088,0.8955476386620065,191,476,0.4146588962300524,1,1,stable_non_label_event_key,value_first,0.5,66303.38
3,frozen_v1_7,695,743,10.0,14,14,9.72762645914397,1.0,0.025179856115107913,0.0,0.0,0.14455982796781497,14,0,3.289246780190902,17,12,stable_non_label_event_key,case_first,0.25,70669.965
3,frozen_v1_7,695,743,25.0,35,35,24.31906614785992,1.0,0.06294964028776978,0.0,0.0,0.3181560936642145,35,0,2.9186164434860955,1,1,stable_non_label_event_key,case_first,0.25,70669.965
3,frozen_v1_7,695,743,50.0,71,71,49.332962757087266,1.0,0.12769784172661872,0.0,0.0,0.40757533170724475,71,0,1.8166333622548205,1,1,stable_non_label_event_key,case_first,0.25,70669.965
3,frozen_v1_7,695,743,100.0,143,143,99.36075597554196,0.986013986013986,0.25359712230215825,0.00014455044810638914,1.4455044810638915,0.8133886639622789,141,2,1.1938653176992062,1,1,stable_non_label_event_key,case_first,0.25,70669.965
3,frozen_v1_7,695,743,10.0,14,14,9.72762645914397,1.0,0.025179856115107913,0.0,0.0,0.14455982796781497,14,0,3.289246780190902,17,12,stable_non_label_event_key,balanced,0.25,70669.965
3,frozen_v1_7,695,743,25.0,35,35,24.31906614785992,1.0,0.06294964028776978,0.0,0.0,0.3181560936642145,35,0,2.9186164434860955,1,1,stable_non_label_event_key,balanced,0.25,70669.965
3,frozen_v1_7,695,743,50.0,71,71,49.332962757087266,1.0,0.12769784172661872,0.0,0.0,0.40757533170724475,71,0,1.8166333622548205,1,1,stable_non_label_event_key,balanced,0.25,70669.965
3,frozen_v1_7,695,743,100.0,143,143,99.36075597554196,0.986013986013986,0.25359712230215825,0.00014455044810638914,1.4455044810638915,0.8133886639622789,141,2,1.1938653176992062,1,1,stable_non_label_event_key,balanced,0.25,70669.965
3,frozen_v1_7,695,743,10.0,14,14,9.72762645914397,1.0,0.025179856115107913,0.0,0.0,0.14455982796781497,14,0,3.289246780190902,17,12,stable_non_label_event_key,value_first,0.25,70669.965
3,frozen_v1_7,695,743,25.0,35,35,24.31906614785992,1.0,0.06294964028776978,0.0,0.0,0.3181560936642145,35,0,2.9186164434860955,1,1,stable_non_label_event_key,value_first,0.25,70669.965
3,frozen_v1_7,695,743,50.0,71,71,49.332962757087266,1.0,0.12769784172661872,0.0,0.0,0.40757533170724475,71,0,1.8166333622548205,1,1,stable_non_label_event_key,value_first,0.25,70669.965
3,frozen_v1_7,695,743,100.0,143,143,99.36075597554196,0.986013986013986,0.25359712230215825,0.00014455044810638914,1.4455044810638915,0.8133886639622789,141,2,1.1938653176992062,1,1,stable_non_label_event_key,value_first,0.25,70669.965
3,rolling_refresh,695,743,10.0,14,14,9.72762645914397,1.0,0.025179856115107913,0.0,0.0,0.14455982796781497,14,0,2.498312794082623,17,12,stable_non_label_event_key,case_first,0.25,75793.935
3,rolling_refresh,695,743,25.0,35,35,24.31906614785992,1.0,0.06294964028776978,0.0,0.0,0.3181560936642145,35,0,2.2168044202989363,1,1,stable_non_label_event_key,case_first,0.25,75793.935
3,rolling_refresh,695,743,50.0,71,71,49.332962757087266,1.0,0.12769784172661872,0.0,0.0,0.40757533170724475,71,0,0.8200869426588641,1,1,stable_non_label_event_key,case_first,0.25,75793.935
3,rolling_refresh,695,743,100.0,143,143,99.36075597554196,0.993006993006993,0.25539568345323743,7.227522405319457e-05,0.7227522405319458,0.8142503387240675,142,1,0.2864615934408887,1,1,stable_non_label_event_key,case_first,0.25,75793.935
3,rolling_refresh,695,743,10.0,14,14,9.72762645914397,1.0,0.025179856115107913,0.0,0.0,0.14455982796781497,14,0,2.498312794082623,17,12,stable_non_label_event_key,balanced,0.25,75793.935
3,rolling_refresh,695,743,25.0,35,35,24.31906614785992,1.0,0.06294964028776978,0.0,0.0,0.3181560936642145,35,0,2.2168044202989363,1,1,stable_non_label_event_key,balanced,0.25,75793.935
3,rolling_refresh,695,743,50.0,71,71,49.332962757087266,1.0,0.12769784172661872,0.0,0.0,0.40757533170724475,71,0,0.8200869426588641,1,1,stable_non_label_event_key,balanced,0.25,75793.935
3,rolling_refresh,695,743,100.0,143,143,99.36075597554196,0.993006993006993,0.25539568345323743,7.227522405319457e-05,0.7227522405319458,0.8142503387240675,142,1,0.2864615934408887,1,1,stable_non_label_event_key,balanced,0.25,75793.935
3,rolling_refresh,695,743,10.0,14,14,9.72762645914397,1.0,0.025179856115107913,0.0,0.0,0.14455982796781497,14,0,97.25702276983577,17,12,stable_non_label_event_key,value_first,1.0,75793.935
3,rolling_refresh,695,743,25.0,35,35,24.31906614785992,1.0,0.06294964028776978,0.0,0.0,0.3181560936642145,35,0,60.28971594634168,1,1,stable_non_label_event_key,value_first,1.0,75793.935
3,rolling_refresh,695,743,50.0,71,71,49.332962757087266,1.0,0.12769784172661872,0.0,0.0,0.6095333506763142,71,0,17.80615217052379,1,1,stable_non_label_event_key,value_first,1.0,75793.935
3,rolling_refresh,695,743,100.0,143,143,99.36075597554196,0.986013986013986,0.25359712230215825,0.00014455044810638914,1.4455044810638915,0.8170093971303992,141,2,3.5908484679736232,1,1,stable_non_label_event_key,value_first,1.0,75793.935
