period,n,fraud_n,fraud_rate,threshold,alerts,alert_rate,precision,recall,legit_flag_rate,legit_alerts_per_10k,budget_multiplier_vs_target,fraud_value_recall,score_p50,score_p90,score_p99,score_p999,budget_multiplier_vs_validation_actual
validation,228103,1552,0.006803943832391507,0.2468694847364194,274,0.0012012117332959233,0.9817518248175182,0.17332474226804123,2.207008576435328e-05,0.2207008576435328,0.022070085764353282,0.42868030067594687,7.715355502606469e-07,0.005629375300384557,0.1324631375289241,0.3925008234861918,1.0
future_test,123580,1654,0.01338404272536009,0.2468694847364194,291,0.0023547499595403787,1.0,0.1759371221281741,0.0,0.0,0.0,0.4418153222109436,7.728175233584846e-07,0.007997576630104357,0.15470560385453555,0.8283528785106508,0.0
