target_prevalence,repeat,method,n,observed_prevalence,mean_predicted_risk,brier,log_loss,ece_10bin
0.001,0,unadjusted,3795,0.001054018445322793,0.008536923777962157,0.0020402352513632684,0.01156394327845473,0.007526989559127406
0.001,0,prior_adjusted,3795,0.001054018445322793,0.0011332357792460152,0.0008519721959638997,0.005082174161256066,0.00034422649811907127
0.001,1,unadjusted,3795,0.001054018445322793,0.008315881482691554,0.0023723658490777417,0.01466856018231603,0.0073407223160303105
0.001,1,prior_adjusted,3795,0.001054018445322793,0.0010631316764467163,0.0009557963627053746,0.0084966264581306,0.0004041290105473574
0.001,2,unadjusted,3795,0.001054018445322793,0.008346347449136326,0.002355291586579554,0.013968267855522243,0.007322455703278651
0.001,2,prior_adjusted,3795,0.001054018445322793,0.0011319809618747176,0.0008820930649954526,0.0076682941588399915,0.0003352797251193561
0.001,3,unadjusted,3795,0.001054018445322793,0.008398643470060198,0.0022636682588933247,0.013310327662249618,0.007374751724202524
0.001,3,prior_adjusted,3795,0.001054018445322793,0.001138039950863064,0.0008701421304402239,0.006956541955467021,0.0003292207361310093
0.001,4,unadjusted,3795,0.001054018445322793,0.0083312838407578,0.002369360972891318,0.014966266736110302,0.007324544446141121
0.001,4,prior_adjusted,3795,0.001054018445322793,0.0010997237730992534,0.0009125371888618518,0.008722088648374496,0.0003675369138948204
0.001,5,unadjusted,3795,0.001054018445322793,0.008334143427830268,0.0023673968312427737,0.014383037757706073,0.007323299241273311
0.001,5,prior_adjusted,3795,0.001054018445322793,0.001106337406673529,0.0009057251949360446,0.00812702980936544,0.00036092328032054464
0.001,6,unadjusted,3795,0.001054018445322793,0.0083600022408769,0.002338365992424218,0.013043877111017997,0.007325522592352012
0.001,6,prior_adjusted,3795,0.001054018445322793,0.0011598505456860055,0.0008615492720976087,0.00669993537184115,0.000307410141308068
0.001,7,unadjusted,3795,0.001054018445322793,0.008236063971603145,0.0023850292322678615,0.012435958102194897,0.007182045526280352
0.001,7,prior_adjusted,3795,0.001054018445322793,0.0009921251110757878,0.0010683117934143984,0.006501021311833223,0.00047513557591828573
0.001,8,unadjusted,3795,0.001054018445322793,0.008162682567607438,0.002501655093949718,0.013361985581315003,0.007108664122284646
0.001,8,prior_adjusted,3795,0.001054018445322793,0.0009815765245818414,0.0010887939781134312,0.007510586353602327,0.00048568416241223243
0.001,9,unadjusted,3795,0.001054018445322793,0.008345447967589575,0.002367015026167092,0.014652796056917026,0.007310968319064688
0.001,9,prior_adjusted,3795,0.001054018445322793,0.001158498194563373,0.0008642500081646652,0.008322288934805319,0.00030876249243070046
0.001,10,unadjusted,3795,0.001054018445322793,0.00835210496987686,0.0023328291544548276,0.013712852577157054,0.0073412607833199025
0.001,10,prior_adjusted,3795,0.001054018445322793,0.0011080774987039942,0.000902257650122928,0.007439917475251293,0.0003591831882900796
0.001,11,unadjusted,3795,0.001054018445322793,0.008165021764489735,0.0024920006467001356,0.01325589235886236,0.007111003319166942
0.001,11,prior_adjusted,3795,0.001054018445322793,0.000981192622885206,0.0010894784853752748,0.007405006711183386,0.0004860680641088678
0.001,12,unadjusted,3795,0.001054018445322793,0.008302472460954882,0.00233004514241229,0.01348907200492819,0.007248454015632089
0.001,12,prior_adjusted,3795,0.001054018445322793,0.0010175068647281119,0.0010229035591193634,0.007429360703888615,3.65115805946813e-05
0.001,13,unadjusted,3795,0.001054018445322793,0.00849192755424758,0.0021391619106371734,0.013183317056051441,0.00751406772530024
0.001,13,prior_adjusted,3795,0.001054018445322793,0.0011055673978295722,0.0008786837259514169,0.006761575961037758,0.00042868859225221313
0.001,14,unadjusted,3795,0.001054018445322793,0.008448544577251277,0.002132239669623546,0.012032615954084858,0.007394526131928482
0.001,14,prior_adjusted,3795,0.001054018445322793,0.0010482693535131535,0.0009653087321093556,0.005774981049547591,0.0004902727825122033
0.001,15,unadjusted,3795,0.001054018445322793,0.008324625608168152,0.0023488170587965783,0.01369105026865033,0.007357410428015542
0.001,15,prior_adjusted,3795,0.001054018445322793,0.0010577385795321871,0.000962281585037833,0.007522774624501023,0.00040952210746188634
0.001,16,unadjusted,3795,0.001054018445322793,0.008532813294759209,0.0021078094232298904,0.011851154271394326,0.007502086436329751
0.001,16,prior_adjusted,3795,0.001054018445322793,0.0011901101938640067,0.0007931163293608437,0.005274231115989274,0.00034660624339984234
0.001,17,unadjusted,3795,0.001054018445322793,0.008116586946040477,0.002581712617679759,0.014580456525644743,0.007062568500717683
0.001,17,prior_adjusted,3795,0.001054018445322793,0.0009761504120796858,0.0010994869292269506,0.008776867267042179,0.0004911102749143877
0.001,18,unadjusted,3795,0.001054018445322793,0.008535950889025345,0.0021035900005259463,0.01220748898992571,0.007525893415872615
0.001,18,prior_adjusted,3795,0.001054018445322793,0.001157470721736833,0.0008122211479867899,0.005657469651755047,0.00037887359809059187
0.001,19,unadjusted,3795,0.001054018445322793,0.008128637292021594,0.00256126723037363,0.014853862382854485,0.007074618846698801
0.001,19,prior_adjusted,3795,0.001054018445322793,0.0009775904426741614,0.0010966478218269592,0.009037627987278415,0.0004896702443199126
0.0025,0,unadjusted,3801,0.002630886608787161,0.008615615298955527,0.0036164881177502156,0.02015759860659827,0.006027491464729862
0.0025,0,prior_adjusted,3801,0.002630886608787161,0.002724857434331894,0.002329303149009882,0.016440643421253,0.001607815030888805
0.0025,1,unadjusted,3801,0.002630886608787161,0.008635948155287709,0.0034397462615200674,0.019663215663019568,0.00609172778994197
0.0025,1,prior_adjusted,3801,0.002630886608787161,0.002545554270819685,0.0024203629414715068,0.01607707481217795,0.0009680542214912575
0.0025,2,unadjusted,3801,0.002630886608787161,0.008468806386149148,0.003663509373355357,0.018575522834187654,0.005881811355732254
0.0025,2,prior_adjusted,3801,0.002630886608787161,0.0024988982195175706,0.0025426370739318875,0.015151634022979518,0.0018337742457031287
0.0025,3,unadjusted,3801,0.002630886608787161,0.0085959753491278,0.003609082926267063,0.02064876036762707,0.0060606350920883074
0.0025,3,prior_adjusted,3801,0.002630886608787161,0.002658740887978385,0.0023664497266462753,0.016994939182116996,0.0016739315772423143
0.0025,4,unadjusted,3801,0.002630886608787161,0.008537568775249478,0.0035839957655667684,0.019328870640315757,0.00598272056402739
0.0025,4,prior_adjusted,3801,0.002630886608787161,0.0025110395263947412,0.002487786906373465,0.015838987448701256,0.0014318703801779506
0.0025,5,unadjusted,3801,0.002630886608787161,0.009007866519903476,0.003112322645722742,0.01722424006691221,0.006530915613064005
0.0025,5,prior_adjusted,3801,0.002630886608787161,0.002912999893439316,0.001995649907618275,0.013069005851208666,0.0010592696137980994
0.0025,6,unadjusted,3801,0.002630886608787161,0.008486471802129221,0.003656168223696501,0.020057791860361444,0.005898691300160357
0.0025,6,prior_adjusted,3801,0.002630886608787161,0.002511181655129415,0.0025227954134650846,0.016608676591694484,0.0013595388320531132
0.0025,7,unadjusted,3801,0.002630886608787161,0.00900715236670551,0.003015447104870831,0.016589891476442947,0.006498106661506069
0.0025,7,prior_adjusted,3801,0.002630886608787161,0.0028003043646092833,0.0020711757445467964,0.012530622608878704,0.0005487437367416943
0.0025,8,unadjusted,3801,0.002630886608787161,0.008596316834999736,0.003635865312158586,0.02213045586141238,0.006028952818522537
0.0025,8,prior_adjusted,3801,0.002630886608787161,0.0026918747433821158,0.002347452751952474,0.018449532891706796,0.0016407977218385833
0.0025,9,unadjusted,3801,0.002630886608787161,0.008798409664164715,0.003373149351959038,0.02034390784867512,0.00621028582993905
0.0025,9,prior_adjusted,3801,0.002630886608787161,0.002809972884599509,0.0021854483591535632,0.016428149504084513,0.0011622966226379067
0.0025,10,unadjusted,3801,0.002630886608787161,0.008900624896323834,0.003150694531798013,0.01781241014216014,0.006432442928543166
0.0025,10,prior_adjusted,3801,0.002630886608787161,0.002733163278358754,0.0021565652425638493,0.013879917399727331,0.0011408481719354724
0.0025,11,unadjusted,3801,0.002630886608787161,0.008625738153278453,0.0035588941630619805,0.020308858409604683,0.0060851620705228695
0.0025,11,prior_adjusted,3801,0.002630886608787161,0.0026625734372338027,0.002343763737852157,0.016630339329384045,0.0016700990279868964
0.0025,12,unadjusted,3801,0.002630886608787161,0.008876929677571805,0.0032077005483791307,0.01920781097393337,0.006365973044719983
0.0025,12,prior_adjusted,3801,0.002630886608787161,0.002754726740693239,0.002158239989855898,0.015275235008440876,0.0007920318246312166
0.0025,13,unadjusted,3801,0.002630886608787161,0.008931679937209678,0.0031719942491957864,0.01806252457561801,0.006419937832805886
0.0025,13,prior_adjusted,3801,0.002630886608787161,0.0027999334463597553,0.002090839496323253,0.014047714611426341,0.000991938609398409
0.0025,14,unadjusted,3801,0.002630886608787161,0.008556422452650196,0.0036632961257295296,0.022249607326626317,0.006045588879555474
0.0025,14,prior_adjusted,3801,0.002630886608787161,0.002614828462271912,0.0023955754875918077,0.018652328512370434,0.0017178440029487869
0.0025,15,unadjusted,3801,0.002630886608787161,0.00875098211519731,0.003373391470909105,0.017827591488853947,0.006240025482345489
0.0025,15,prior_adjusted,3801,0.002630886608787161,0.002691381675866244,0.0022604959033224437,0.01403553527749065,0.0012515282307064472
0.0025,16,unadjusted,3801,0.002630886608787161,0.008964420931158512,0.003176956089015458,0.019618379798394377,0.006507815470888441
0.0025,16,prior_adjusted,3801,0.002630886608787161,0.0028809691203683656,0.0020302917449475408,0.015515832778479028,0.0010885428757049253
0.0025,17,unadjusted,3801,0.002630886608787161,0.008514398271155382,0.0036030270879149028,0.018634340275752177,0.005930716081581505
0.0025,17,prior_adjusted,3801,0.002630886608787161,0.0025141087850355354,0.002509939623522366,0.015165063227724365,0.0013599026652586909
0.0025,18,unadjusted,3801,0.002630886608787161,0.008329653012064332,0.0038963583862851228,0.022156319193272284,0.005774804800842244
0.0025,18,prior_adjusted,3801,0.002630886608787161,0.0024307540781371394,0.002630280029424534,0.01887285572523418,0.0019019183870835595
0.0025,19,unadjusted,3801,0.002630886608787161,0.008746326453837794,0.0032933513034529545,0.018459879039325187,0.006159454483177999
0.0025,19,prior_adjusted,3801,0.002630886608787161,0.0026218259545699152,0.00233011858855101,0.01473942187546313,0.0005873640496736303
0.005,0,unadjusted,3810,0.0049868766404199474,0.00894425628156235,0.005489250660393626,0.03341051886485662,0.004019845794912582
0.005,0,prior_adjusted,3810,0.0049868766404199474,0.004909423945112862,0.004656899827502409,0.03202501647465304,0.0030054917918448743
0.005,1,unadjusted,3810,0.0049868766404199474,0.0090847069310812,0.00530255440825479,0.028889555365287714,0.004382487296533076
0.005,1,prior_adjusted,3810,0.0049868766404199474,0.005016587021050309,0.004503682857154475,0.02740601745072191,0.0034476898328395897
0.005,2,unadjusted,3810,0.0049868766404199474,0.00930930545886772,0.004978372741340271,0.027178163620256348,0.004531349814081248
0.005,2,prior_adjusted,3810,0.0049868766404199474,0.0051600304842821946,0.004259976009431279,0.02554889448452844,0.0021729609466682614
0.005,3,unadjusted,3810,0.0049868766404199474,0.00894917422856265,0.005371724822858165,0.031281371355442684,0.003981759460543764
0.005,3,prior_adjusted,3810,0.0049868766404199474,0.004842166496046046,0.004657201880157641,0.029922939019937773,0.002455826856828891
0.005,4,unadjusted,3810,0.0049868766404199474,0.00927020989202671,0.005034458326563485,0.02683796923330611,0.0043804518962924435
0.005,4,prior_adjusted,3810,0.0049868766404199474,0.005153984748732885,0.00433220070526784,0.025229197025823175,0.002221396889906572
0.005,5,unadjusted,3810,0.0049868766404199474,0.0092107093692728,0.005150729705410494,0.030399543454621637,0.004473851592205398
0.005,5,prior_adjusted,3810,0.0049868766404199474,0.005117600225715744,0.0043712513142913165,0.028825887221981837,0.002530864664183603
0.005,6,unadjusted,3810,0.0049868766404199474,0.008809970749962771,0.005577885704152361,0.031653373825641,0.0038531021999549282
0.005,6,prior_adjusted,3810,0.0049868766404199474,0.004755339619397528,0.0048033130432336155,0.030384006133277637,0.003432659368820097
0.005,7,unadjusted,3810,0.0049868766404199474,0.008900437345446596,0.005406740921064178,0.02876541336704408,0.003936760592758985
0.005,7,prior_adjusted,3810,0.0049868766404199474,0.004797138196752416,0.0047188660222125525,0.027445684446083564,0.0022595753685257657
0.005,8,unadjusted,3810,0.0049868766404199474,0.008324315316941134,0.0060873994819807915,0.034134005991850236,0.003337438676521185
0.005,8,prior_adjusted,3810,0.0049868766404199474,0.004316871741811035,0.005334065508739196,0.0332340751372948,0.003742096021740876
0.005,9,unadjusted,3810,0.0049868766404199474,0.009359282088480459,0.0049785613119656055,0.02854595723303107,0.004599881930922931
0.005,9,prior_adjusted,3810,0.0049868766404199474,0.005251821141533497,0.004220132422282897,0.026860673433187522,0.0027499086087776877
0.005,10,unadjusted,3810,0.0049868766404199474,0.009284531149364002,0.005191078880821775,0.030829881520507047,0.004540219269038241
0.005,10,prior_adjusted,3810,0.0049868766404199474,0.005268591362996054,0.004295245275432888,0.029165162419748324,0.003195685490893844
0.005,11,unadjusted,3810,0.0049868766404199474,0.009181775072119432,0.005064098294488311,0.027201679060971963,0.0044357675400948276
0.005,11,prior_adjusted,3810,0.0049868766404199474,0.0050148967694715815,0.004403532081110208,0.02568247337322579,0.0018710957354496022
0.005,12,unadjusted,3810,0.0049868766404199474,0.008842242648534249,0.005496693925680907,0.02962526859552739,0.0038748278805153633
0.005,12,prior_adjusted,3810,0.0049868766404199474,0.004757096288621601,0.004777367253369696,0.028343745803052815,0.0027171258235535165
0.005,13,unadjusted,3810,0.0049868766404199474,0.009297772231653229,0.005078024814265668,0.03080813609812149,0.004421238273822031
0.005,13,prior_adjusted,3810,0.0049868766404199474,0.005210669868877871,0.004281011318865825,0.029162556850935897,0.0025720200290017645
0.005,14,unadjusted,3810,0.0049868766404199474,0.008447943821326092,0.005948855899509884,0.0342089675992127,0.0034610671809061433
0.005,14,prior_adjusted,3810,0.0049868766404199474,0.004416322793784049,0.005192839043169295,0.033219316177679856,0.0033643679351933967
0.005,15,unadjusted,3810,0.0049868766404199474,0.009228176333824183,0.005134077034058513,0.028724271250158945,0.004334680322758643
0.005,15,prior_adjusted,3810,0.0049868766404199474,0.005150686992954274,0.004373504960219335,0.027132409413857736,0.0024457336670189226
0.005,16,unadjusted,3810,0.0049868766404199474,0.008399845171887304,0.00600182501373473,0.033682509930990895,0.003412968531467355
0.005,16,prior_adjusted,3810,0.0049868766404199474,0.004376918376930135,0.005247669564221484,0.03272805056641715,0.003316343587676531
