training_view,available_training_end_day,test_start_day,pr_auc,brier,legit_flag_rate,fraud_recall,novel_fraud_recall
asof_7d_delay,46,54,0.19731689922159257,0.016686196867037994,0.015424164524421594,0.35294117647058826,0.0
oracle_instant_labels,53,54,0.3449799518937228,0.015534641474094881,0.012339331619537276,0.38235294117647056,0.2
